amount;category;country;date;description;industry;project_name;;;;
EUR 0.04 MLN;;Africa;12/30/2016;{'Who is our client': ' Forestry East Africa (FEA), a regional forestry association has been founded at the beginning of 2016 by two of FMO’s Forestry clients (The New Forests Company and Green Resources).', 'Funding objective': ' To enable FEA to address fundamental weaknesses that exist in the forestry sector in East Africa. FEA’s objectives are two-fold: to lobby and to provide research. FMO is requested to support the research activities of FEA. Increased dissemination of research is currently lacking and of great importance to the forestry sector in East Africa and can become a driver to provide a valuable proposition to the FEA members.', 'Why we fund this project': ' Forestry is seen as a strategic sector to invest in for FMO. Supporting the creation of a forestry association in East Africa through our Capacity Development Funds contributes to a more sustainable sector which is valued by FMO and its (future) clients.'};Infrastructure, Manufacturing and Services;AFRICAN FORESTRY;;;;
EUR 0.10 MLN;;Nicaragua;4/13/2017;{'Who is our client': ' The Moringa Partnership is the investment advisor to Moringa SICAR, SCA (the Moringa Fund). The Moringa Fund is an equity investment vehicle that invests in profitable, larger scale agroforestry projects with high environmental and social impact in Latin America and Sub-Saharan Africa.', 'Funding objective': ' The main goal is to rehabilitate degraded small and medium-sized coffee farms around La Cumplida in order to increase environmental resilience and commercial viability of those farms.', 'Why we fund this project': ' Well-designed agroforestry systems are a viable solution for smallholders who need assistance in transforming their degraded farms into environmentally resilient systems with multiple income streams. This is in line with FMO’s strategy.'};Agribusiness, Food & Water;MORINGA PARTNERSHIP;;;;
EUR 0.06 MLN;;Cambodia;6/26/2017;{'Who is our client': ' Microfinance Opportunities (MFO) is a global non-profit organization committed to understanding the financial realities of low-income households and developing consumer-focused solutions.', 'Funding objective': ' This project is proposed to measure this increasing stress at a household level so that action can be taken to reduce this before a crisis hits at both the household and sector level. FMO has asked Microfinance Opportunities (MFO) to research and create market intelligence on over indebtedness, collaborating with FMO’s investees, including a few of the largest MFIs in the country, Prasac, Amret, Sathapana and LOLC Cambodia.', 'Why we fund this project': ' Over the past decade, FMO has contributed to the inclusive growth of the financial sector in Cambodia. Throughout this period, responsible lending has been a key to the expansion of MFIs. This CD project will provide important insight in the way end-beneficiaries are managing their finances. The results of the study provide crucial market intelligence that can allow FMO and its clients MFIs to make informed decisions about how to mitigate any risk of over-indebtedness going forward.'};Financial Institutions;MICROFINANCE OPPORTUNITIES, INC.;;;;
EUR 5.00 MLN;;Bosnia and Herzegovina;8/17/2017;"{'Who is our client': "" EKI is one of the leading microfinance institutions in Bosnia & Herzegovina and has a focus on the agricultural sector. The country is still struggling with war-torn past in 90s and complicated system of government. EKI's mission is to provide the right financial services to low-income people and ca. 40% of EKI clients are women. The goal is to enable economic independence of those groups."", 'Funding objective': ' By providing long-term finance to EKI with EUR 5mln, FMO helps facilitate access to finance for micro entrepreneurs, mainly in the agricultural sector. EKI does not only promote inclusive finance but also helps create many jobs in a country with an unemployment rate of approximately 40%.', 'Why we fund this project': ' By providing long-term finance to an institution operating in Bosnia and Herzegovina, FMO enables EKI to continue promoting access to finance for micro entrepreneurs. With its focus on micro clients in the agricultural sector, EKI promotes inclusive finance.'}";Financial Institutions;MIKROKREDITNO DRUSTVO EKI D.O.O.;;;;
USD 11.32 MLN;;Egypt;10/13/2017;{'Who is our client': ' MMID 30 for Renewable Energy is a special purpose vehicle incorporated in Egypt to develop, construct and operate a PV solar power plant (the “Project”) in the BenBan complex located in the Aswan province. The sponsors are Infinity Solar SAE and BPE Partners of Egypt and ib vogt GmbH of Germany.', 'Funding objective': ' FMO will provide a B-loan under the EBRD umbrella. FMO’s funding will be used towards constructing a 30 MW PV solar power plant in BenBan complex.  The Project is one of the two solar PV plants to be developed by the same sponsors for which FMO will provide a B-loan under the EBRD umbrella.', 'Why we fund this project': ' The Project will be developed under the second round of the 1.8GW solar PV Feed-in-Tariff (“FiT”) scheme launched by Government of Egypt in October 2016. The scheme aims to support Egypt to diversify its energy sources by exploiting the country’s renewable energy potential. The FiT projects will also be among the first private renewable energy investments in Egypt, thus setting the precedent for future developments in the sector.', 'Environmental and social rationale': ' This transaction has been categorized as Category B+, in line with FMO environmental and social risk categorization. Due to the size for the scheme, with several solar projects to be developed at the same time, the environmental and social cumulative impacts are significant. Therefore, a Strategic Environmental and Social Impact Assessment has been developed for the entire Benban complex. Developers have, as next step, developed a specific Environmental and Social Impact Assessment for their respective plots, all within the framework of the Strategic Assessment. The major impacts are generated through Construction Phase (8-10 months). For this, mitigation plans have been developed. During the Operational Phase, impacts are negligible.   The following Performance Standards (“PS”) are triggered by the transaction: PS1: Assessment and Management of Environmental and Social Risks and Impacts PS2: Labor and Working Conditions PS3: Resource Efficiency and Pollution Prevention PS4: Community Health, Safety and Security PS5: Land Acquisition and Involuntary Resettlement PS6: Biodiversity Conservation and Sustainable Management of Living Natural Resources  PS 7 is not triggered because no impacts on local groups qualifying as Indigenous were identified. PS 8 is not triggered, as no cultural objects or places were identified.'};Energy;MMID 30 FOR RENEWABLE ENERGY S.A.E.;;;;
USD 5.00 MLN;;Pakistan;11/27/2017;{'Who is our client': ' Kashf Foundation is a Pakistani microfinance institution established in 1996 targeting women micro-entrepreneurs to get access to finance. It is one of the oldest and largest NBFIs in Pakistan and provides microcredit, insurance, business development services and social advocacy interventions aimed at creating awareness about gender discrimination and social issues at the community level.', 'Funding objective': ' Purpose of the facility is to fund the growth of Kashf’s lending activities dedicated to women micro entrepreneurs.', 'Why we fund this project': ' FMO supports an institution that empowers poor women in a country  that ranks 147 out of 188 countries in the gender inequality index of the United Nations Development Programme . Kashf aims to bridge the financing gap for women by contributing both on the supply and the demand side of financing women owned micro enterprises. Furthermore, Kashf has 14% of its portfolio in small-scale agri and plans to expand to rural areas, thereby providing access to underserved micro enterprises in Pakistan.', 'Environmental and social rationale': ' Kashf Foundation provides loans to micro or very small businesses therefore has positive social and limited environmental footprint.'};Financial Institutions;KASHF FOUNDATION;;;;
USD 6.00 MLN;;Dominican Republic;12/20/2017;{'Who is our client': ' FMO’s client and developer of the Project is Parques Eolicos del Caribe S.A., a Dominican Republic subsidiary of Akuo Energy that is solely set up to build and operate the Pecasa project. Estimated total project costs are USD 125m. FMO provides USD 12m senior and USD 6m subordinated loan.', 'Funding objective': ' The objective of FMO’s financing is to fund the construction and operation of a 50MW greenfield wind energy power plant in the Montecristi region in Dominican Republic.', 'Why we fund this project': ' FMO funds this project as it provides an additional source of clean, renewable energy to the Dominican Republic, a country which is heavily reliant on fossil fuel imports and dominated by thermal power plants.', 'Environmental and social rationale': ' The transaction has been categorized as Category B+, in line with FMO environmental and social risk categorization and mainly due to environmental, social and occupational health and safety (ESHS) impacts and risks typically associated with the construction and operation of wind farms such as (i) clearing of soil and vegetation during excavation and construction, (ii) traffic safety and nuisance noise and dust, and (iii) health & safety risks for construction workers. During operations, the impacts and risks include: (iv) potential bird and bats mortality, (v) turbine noise, (vi) health & safety risks to O&M workers, and (vii) visual impact. All these risks and impacts were considered to be of limited magnitude and significance upon implementation of adequate mitigation measures. The Performance Standards (“PS”) triggered are PS 1 to 4 as pertaining to construction.  PS5 to 8 were not triggered.'};Energy;PARQUES EOLICOS DEL CARIBE S.A.;;;;
USD 7.00 MLN;;Ukraine;04/12/2018;"{'Who is our client': ' NIBULON AGRICULTURAL ENTERPRISE LLC  Nibulon is leading Ukrainian integrated grain/oilseeds exporter and producer, operating one of the largest logistics networks of grain storage and transportation in Ukraine.', 'Funding objective': "" The Project will support Nibulon's strategy aimed mainly at the expansion and optimisation of its river grain logistics facilities in order to increase grain trading volumes reducing the share of road and rail transportation, which will lead to the improvement of profitability, efficiency, as well as to the reduction of environmental footprint."", 'Why we fund this project': "" The Project is expected to have a significant transition impact under the 'Integrated' quality as it will enable Nibulon to increase its export capacity through improved logistics and infrastructure. The Project will also promote the development of low carbon transportation mode prioritising sustainable pattern of grain transportation routes in the country (via the Dnieper and South Buh rivers) thus contributing to SDGs number 2(zero hunger), 8(decent work and economic growth) and 9 (industry, innovation and infrastructure)."", 'Environmental and social rationale': "" The proposed project is to invest in environmentally sound, energy efficient grain terminals supporting the local grain producer's ability to trade their products efficiently. The terminals are developed in compliance with national regulatory requirements and international standards and implemented by a sponsor committed to good environmental and social management and with a proven record of openness and transparency.  The project will follow international labor standards during construction and operational phases, and will only have minimal and well defined emissions and discharges which will be in line with local regulations and the World Bank Group (WBG) environmental health and safety (EHS) guidelines. With no indication of impacts related to Performance Standards 5 through 8 and already addressed environmental and social  issues under Performance Standards 1 through 4. This is a Category B project in FMO's internal policies. This transaction will also be classified as green.""}";Agribusiness, Food & Water;NIBULON AGRICULTURAL LIMITED LIABIL;;;;
USD 8.00 MLN;;Bangladesh;06/09/2018;{'Who is our client': ' Mutual Trust Bank (MTB) is a mid-sized private commercial bank incorporated in 1999. It offers a variety of products, including corporate, SME’s, consumer financing and trade finance.', 'Funding objective': ' MTB participates since 2015 in the Asian Development Bank (ADB) Trade Finance Program. FMO will provide a trade finance facility to MTB in cooperation with ADB. Purpose of the facility is to support and promote the increasing trade finance activities.', 'Why we fund this project': ' Bangladesh economy is on the rise with its key sectors generating more direct employment and exporting their produce. A trade finance product supports this development. MTB is a good standing client of ADB.', 'Environmental and social rationale': ' FI-A. The client is classified as FI-A due to exposure of 20% in potentially high-risk sectors. MTB has a functioning ESMS in place and is working on an upgrade of its ESMS with long term support from DEG.'};Financial Institutions;MUTUAL TRUST BANK LIMITED;;;;
EUR 0.03 MLN;;Global;7/23/2018;{'Who is our client': ' Unique will be FMO’s contracting counterparty, but the beneficiaries of the project will be FMO’s client base, and FMO itself.', 'Funding objective': ' The aim of a partnership with UNIQUE is to bring rigorous expertise to FMO’s AFW green approach while supporting FMO’s AFW Green Working Group in its mission and ensuring that FMO’s AFW clients are appropriately served. UNIQUE will support FMO in its journey towards development of the green portfolio and to build in a stronger green lens in its financing strategy and approach.', 'Why we fund this project': ' This project is highly aligned with FMO’s strategy to raise its green targets and contribute to shift the economy to zero net emissions.'};Agribusiness, Food & Water;UNIQUE FORESTRY AND LAND USE GMBH;;;;
