amount;category;country;date;description;industry;project_name;region
USD 15.00 MLN;B+;Peru;6/30/2016;{'Who is our client': ' Agricola Pampa Baja, established in 1999, is a family owned company engaged in the production of fresh fruits & vegetables and also holds dairy operations for the production of milk.', 'Funding objective': ' FMO’s funds will mainly be used to geographically expand the agricultural activities of Pampa Baja through its participation in the Olmos Irrigation Project in Northern Peru.', 'Why we fund this project': ' Supporting the geographical expansion will enable the company to enhance its counter-seasonal production window. The Olmos Irrigation Project, initiated by the Peruvian government, transforms desert land into agricultural land through irrigation by water diverted from the Atlantic basin. Before the Olmos Irrigation Project, the area was a desert. The land has become suitable for year-round production of fruits and vegetables. Impact will be realized through the additional food produced, the economic development on previously unused land as well as an improvement of living standards in the Lambayeque region, which is a remote and under-developed region in the northern part of Peru. The Olmos operations of Pampa Baja will generate substantial employment opportunities for the local community.'};Agribusiness, Food & Water;AGRICOLA PAMPA BAJA S.A.C.;Latin America & The Caribbean
FMO;;Financial Institutions;INR 3300.00 MLN;{'Who is our client': ' YES BANK, India’s fifth largest private sector Bank with a pan India presence across all 29 states and 7 Union Territories of India, headquartered in the Lower Parel Innovation District (LPID) of Mumbai, is the outcome of the professional and entrepreneurial commitment of its Founder Rana Kapoor and its  management team, to establish a high quality, customer centric, service driven, private Indian Bank catering to the future businesses of India.', 'Funding objective': ' The amount raised will be used by YES BANK to finance Green Infrastructure including solar and wind projects in the renewable energy space.', 'Why we fund this project': ' Green bonds are important for FMO to reach its ambitious long-term emission reduction targets.'};9/26/2016;YES BANK LIMITED;India
FMO;;Infrastructure, Manufacturing and Services;EUR 0.05 MLN;{'Who is our client': ' The Lower Solu Project led by Essel Clean Solu Hydropower (ECS), comprises a run-of-river hydroelectric power plant in the Solukhumbu district in Nepal. With a capacity of 82MW, the Lower Solu Project is the largest private sector hydropower project in Nepal. K.F.A. Consulting Pvt. Ltd. is the implementing party for a capacity development project.', 'Funding objective': ' To establish and provide a skills training program to 80 people in four construction-related fields (Assistant Welding / Electrician, Scaffolding, Bar-bending/ Steel fixtures and Masonry). The CD project is targeted to run from July to November 2016.', 'Why we fund this project': ' The CD Project aims to make a green investment of FMO more inclusive by providing knowledge and skill building to the local community. As local skilled workers are largely unavailable, the CD Project aims to train unskilled people form the local community, thereby building the local pool of skilled resources for the Lower Solu Project and at the same time providing the skills to the local community that can serve them in the longer term.'};11/29/2016;K.F.A. CONSULTING PVT.LTD.;Nepal
USD 22.00 MLN;A;Africa;12/23/2016;{'Who is our client': ' Evolution II (Mauritius) No 2 LP (Evolution II) is a private equity fund investing in renewable energy generating assets and energy efficiency projects in Sub-Sahara Africa. Evolution II is managed by Inspired Evolution Investment Management and has reached a first close size of USD75 million in 2016, funded by development finance institutions and developer Quantum Power.', 'Funding objective': ' Evolution targets investments which deliver social and environmental benefits as well as financial returns. Evolution II seeks to invest in in clean and sustainable electricity generation and related infrastructure, energy and resource efficiency and the food-energy-water nexus. After a successful first fund that invested in South Africa, Evolution II will move further into Africa,', 'Why we fund this project': ' By investing in Evolution II, FMO seeks to address the market need for energy in Sub-Sahara Africa in a sustainable and responsible manner, by increased production of clean energy and use energy more efficiently.'};Energy;EVOLUTION II  (MAURITIUS) NO. 2 LP;Africa
USD 23.58 MLN;A;South Africa;04/10/2017;{'Who is our client': ' Our client is Nokeng Fluorspar Mine (Pty) Ltd, a Greenfield Fluorspar mining operation situated in South Africa.', 'Funding objective': ' The objective is to provide senior debt to the project allowing the construction of the mining operation.', 'Why we fund this project': ' The project will support in developing the economy of South Africa in terms of job creation, reduction in trade deficit and the development of the Fluorspar global market.', 'Environmental and social rationale': ' Environmental and Social Risk Management: The IFC PS relevant in this case are 1-4, 6 and 8. PS 5 is not triggered since, as confirmed by the independent Technical Advisor, the land for the project development has been acquired on willing buyer/willing seller basis. PS 7 is also not applicable since no communities are present directly on the property or in close proximity to the project area and therefore no resettlement of any nature is required.  Nokeng has shown sound committed to meeting the requirements of IFC’s Performance Standards. This was voiced several times during the DD, and also demonstrated through the EIA and broad range of updated environmental and social management plans already in place and well elaborated, for instance on environmental, waste, biodiversity, wetland and disaster management. The Company has a well-experienced and locally based Safety, Health and Environment (SHE) manager who has built a full management framework based on the South African NOSA SHE management standard, including elements similar to ISO 14001 and OHSAS 18001. The company is committed to bring the management system in full compliance with the IFC PS and obtain the ISO 14001, ISO 9001 and OHSAS 18001 certification soon after start of operations'};Infrastructure, Manufacturing and Services;NOKENG FLUORSPAR MINE (RF) PROPRIET;Africa
FMO;;Energy;USD 50.00 MLN;{'Who is our client': ' Climate Investor One (CIO) is an innovative approach to infrastructure financing designed to accelerate the delivery of renewable energy projects in emerging markets. Climate Investor One is managed by Climate Fund Managers and currently combines two investment funds into one facility to finance renewable energy projects at specific stages of the project lifecycle. At an early project stage, Climate Investor One provides financial, technical, environmental, social development and structuring support through the CIO Development Fund. Climate Investor One then reduces the complexity associated with multi-party negotiations by equity financing a large part of construction through the CIO Construction Equity Fund. Once the project is operational, Climate Investor One seeks to have mobilised long-term debt financing through the future CIO Refinancing Fund with the objective of optimising the financing over the operational life of the project. CIO realized a first closing of the CIO Development Fund and CIO Construction Equity Fund of USD 412 mln in late June 2017. The Directorate-General for International Cooperation (DGIS) - Ministry of Foreign Affairs of the Netherlands, Atradius Dutch State Business, De Nederlandse Waterschapsbank N.V. (NWB Bank), Aegon Asset Management and FMO – all from the Netherlands – together with global partners from Norway (KLP), South Africa (Sanlam Investments Holdings) & the UK (Royal Borough of Windsor & Maidenhead Pension Fund), collectively form the cornerstone investors in CIO.', 'Funding objective': ' Climate Investor One invests in the development, construction and operation of approximately 20 new renewable energy projects in emerging markets worldwide, taking environmentally and social returns carefully into account in addition to the financial returns. Targeting Africa, Asia and Latin America, CIO will focus on Solar, Wind and Run-of-River Hydro renewable energy projects.', 'Why we fund this project': ' Born out of The Global Innovation Lab for Climate Finance - a global initiative that supports the identification and piloting of cutting edge climate finance instruments – Climate Investor One contributes to important goals of FMO and the Dutch Government as a large Donor in the project: 1) the initiative seeks to fast-track the development of renewable energy projects in emerging markets thereby contributing to the energy needs of the growing populations in these markets, whilst reducing an estimated 1.5mn tonnes of CO2 per annum and 2) Climate Investor One aims to mobilize an estimated USD 1bn in investment from donors, development institutions and importantly commercial investors. As co-founder and initiator of CIO, FMO has made a sizeable commitment to the CIO Construction Equity Fund and has also taken a stake in the fund manager Climate Fund Managers. Finally, the Dutch Government (DGIS) channelled an important donor commitment to the CIO Development Fund through one of the government fund , the Access to Energy Fund, managed by FMO. This donor commitment facilitates further unlocking of private sector capital.', 'Environmental and social rationale': ' Category A Fund, due to investments in high risk sectors (e.g. hydro-power), which will require strong ESG management throughout the whole project life-cycle. The Fund will invest in construction activities with higher probability of negative impacts. The risk profile of the projects under development is generally cat B+ but the investment scope also allows for category A investments to be made.  The Fund ESMS is comprehensive and fully implemented, in accordance with the Responsible Investment Code and other requirements under the legal agreements. For E&S information and ex-ante disclosure of their investment, you can visit the Climate Investor One website (see hyperlink in right corner).'};6/23/2017;COOPERATIEF CONSTRUCTION EQUITY FUN;Global
USD 34.00 MLN;B+;Georgia;8/15/2017;"{'Who is our client': ' Georgian Water and Power is a leading company on the water supply market of Georgia and South Caucasus. The company provides high quality service to the population of Tbilisi, as well as to state organizations, industrial and commercial objects.', 'Funding objective': "" Funding will be used for GWP's rehabilitation of the Gardabani wastewater treatment plant, and network";;;
MASSIF;;Energy;USD 1.00 MLN;"{'Who is our client': ' M-KOPA Solar is a world leading pay-as-you-go energy provider to off-grid homes. To date M-KOPA has connected well over 500,000 homes in East Africa to affordable, safe and clean energy. Its predominantly low-income customer base is accessing lighting, phone charging, radio and TV on daily mobile money payment plans that are less than the typical cost of kerosene.', 'Funding objective': ' Funding will be utilised over the next three years to provide finance for pay-as-you-go solar installations in one million homes – on top of the 500,000 already connected.', 'Why we fund this project': ' Access to energy and access to finance of the Base of the Pyramid (BOP) continues to hold back social and economic development in Sub Sahara Africa. Availability of local currency debt financing is widely seen as a bottleneck for growth of the off-grid energy sector. The financing is an opportunity to back a market leader in East Africa. M-KOPA has the longest track-record of providing SHSs to its customer base. This facility is the first large debt facility for an off-grid solar company of its kind. This landmark facility is expected to catalyse more debt financing to the sector.', 'Environmental and social rationale': "" The Project is rated category C. M-Kopa's business activities, providing access to energy services by PV Solar Panels on a rent-to-own basis to households not connected to the electricity grid, identifies very little E&S impacts. M-KOPA provides clear instructions to prevent inadequate use of the solar panel and its gears. In terms of waste management, M-KOPA is in touch with the main waste recycler in Kenya (WEEE).  The following Performance Standards are triggered by the transaction: PS 1 Assessment and Management of Environmental and Social Risks and Impacts PS 2 Labor and Working Conditions PS 3 Resource Efficiency and Pollution Prevention PS 4 Community Health, Safety and Security PS 5 is not triggered as there is no land acquisition for the project PS 6 is not triggered as no Biodiversity Conservation and Sustainable Management of Living Natural Resources were identified. PS 7 is not triggered because no impacts on local groups qualifying as Indigenous were identified. PS 8 is not triggered, as no cultural objects or places were identified.""}";10/06/2017;M-KOPA UGANDA LIMITED;Uganda
FMO;;Infrastructure, Manufacturing and Services;EUR 20.00 MLN;{'Who is our client': ' Mediterrania Capital III is a EUR 250m targeted fund being raised by Mediterrania Capital Partners. The Fund will focus primarily on North Africa, including Egypt, with some allocation to Francophone Africa (max 35% in new countries), targeting growth capital investments in SMEs/Midcaps.', 'Funding objective': ' To be an anchor investor in a Private Equity Fund providing scare growth equity capital to companies in the circle around Europe.', 'Why we fund this project': ' Through financing and institutionalizing SME/mid-sized companies in the target markets, The Fund will help them grow, thus creating employment and tax revenues for governments. By increasing our existing stake by EUR 5.00 MLN, we can further achieve this goal, and also thereby catalyze additional funding from other existing LPs.', 'Environmental and social rationale': ' The Manager has established a functioning E&S management system and there are no material gaps with FMO’s requirements. There are proper ESG policies and procedures in place that meet FMO’s requirements. (e.g. clear E&S due diligence process, external ESG audits against IFC Performance Standards on portfolio companies, clear roles and responsibilities in the team, KPI’s on ESG and even a policy on ESG related to their exits).'};11/27/2017;MEDITERRANIA CAPITAL III PARALLEL F;Africa
FMO;;Energy;USD 19.00 MLN;{'Who is our client': ' FMO’s client and developer of the Project is Electronic J.R.C. S.R.L., a Dominican subsidiary of the General Energy Solutions INC (GES), that is solely set up to develop, construct, finance and operate the Monteplata project. Estimated total project costs of Phase I of the Project are USD56 m. FMO is providing USD19m senior loan.', 'Funding objective': ' The objective of FMO’s financing is to fund the construction and operation of a 33MW solar power plant in Monteplata region in the Dominican Republic.', 'Why we fund this project': ' FMO funds this project as it provides an additional source of clean, renewable energy to the Dominican Republic, a country which is heavily reliant on fossil fuel imports and dominated by thermal power plants.', 'Environmental and social rationale': ' This is a category B+ project with potential limited adverse social and environmental (E&S) risk and / or impacts that are few in number, generally site-specific, largely reversible and readily addressed through mitigation measures.  This project is now in operations meaning that all construction activities with higher probability of negative impacts have ceased. Nevertheless this project was screened against all Performance Standards and FMO’s E&S due diligence indicated that the investment had impacts which were managed in a manner consistent with the following Performance Standards: PS 1 - Assessment and Management of Environmental and Social Risks and Impacts;;;
